Article name,Topic cluster,Spec URL,Standards,Priority,Week,Complete?,Writer
mix-blend-mode,,https://dvcs.w3.org/hg/FXTF/rawfile/tip/compositing/index.html,ED,P3,,,
mix-composite,,https://dvcs.w3.org/hg/FXTF/rawfile/tip/compositing/index.html,ED,P3,,,
phonemes,,, ?,P3,,,
resize,,http://dev.w3.org/csswg/css3-ui/,ED,P3,,,
table-baseline,,,,P3,,,
user-focus,,,N,P3,,,
user-input,,,N,P3,,,
user-modify,,,N,P3,,,
user-select,,,N,P3,,,
background-position-x,background properties,,Discussion,P4,,,
background-position-y,background properties,,Discussion,P4,,,
binding,,http://www.w3.org/TR/becss/,WD,P4,,,
